#{"t_start": 1763358890.7584512, "env_id": "GridWorldStatic-v0"}
r,l,t
18.0,4,22.319831
9.0,7,22.328834
20.0,5,22.335848
26.0,3,22.339847
18.0,4,22.345845
23.0,4,22.350377
29.0,2,22.353375
23.0,4,22.359447
29.0,2,22.362934
26.0,3,22.368168
17.0,6,22.378165
32.0,1,22.380164
29.0,2,22.384165
26.0,3,22.389663
29.0,2,22.392658
18.0,4,22.39878
29.0,2,22.403115
20.0,5,22.410136
7.0,6,22.420861
23.0,4,22.428422
23.0,4,22.435444
26.0,3,22.439765
23.0,4,22.445977
23.0,4,22.450366
32.0,1,22.452007
15.0,5,22.461066
12.0,6,22.469589
17.0,6,22.477736
26.0,3,22.48125
20.0,5,22.486763
32.0,1,22.487856
17.0,6,22.494409
29.0,2,22.496817
32.0,1,22.49841
23.0,4,22.504768
29.0,2,22.507014
13.0,4,22.511613
20.0,5,22.517612
-6.0,7,22.526414
18.0,4,22.532718
23.0,4,22.540175
29.0,2,22.543172
23.0,4,22.548196
26.0,3,22.55074
29.0,2,22.791033
18.0,4,22.798033
23.0,4,22.805111
32.0,1,22.807112
20.0,5,22.815109
15.0,5,22.823106
17.0,6,22.834751
32.0,1,22.838766
23.0,4,22.846912
18.0,4,22.852426
17.0,6,22.860429
29.0,2,22.86343
23.0,4,22.869429
26.0,3,22.873428
17.0,6,22.881426
29.0,2,22.884426
23.0,4,22.890426
23.0,4,22.897423
32.0,1,22.898422
26.0,3,22.90383
23.0,4,22.909824
32.0,1,22.911823
23.0,4,22.917822
26.0,3,22.921821
17.0,6,22.932824
17.0,6,22.940827
23.0,4,22.946832
23.0,4,22.952365
17.0,6,22.961363
10.0,5,22.967361
17.0,6,22.976359
29.0,2,22.980355
18.0,4,22.986356
20.0,5,22.994066
-1.0,7,23.004816
23.0,4,23.010349
18.0,4,23.016729
20.0,5,23.024765
32.0,1,23.027119
32.0,1,23.029185
26.0,3,23.033591
29.0,2,23.036903
29.0,2,23.038903
32.0,1,23.040903
20.0,5,23.047185
23.0,4,23.051728
32.0,1,23.052728
29.0,2,23.055727
20.0,5,23.06259
29.0,2,23.064586
6.0,8,23.074918
9.0,7,23.082926
29.0,2,23.085926
26.0,3,23.089927
0.0,10,23.102366
17.0,6,23.112588
32.0,1,23.114584
26.0,3,23.117588
23.0,4,23.123932
29.0,2,23.127151
23.0,4,23.131149
26.0,3,23.135152
29.0,2,23.137167
26.0,3,23.142164
14.0,7,23.150683
18.0,4,23.155701
21.0,3,23.160004
20.0,5,23.350414
17.0,6,23.358944
32.0,1,23.360943
20.0,5,23.366942
17.0,6,23.377934
23.0,4,23.385932
18.0,4,23.391931
23.0,4,23.396928
11.0,8,23.408925
29.0,2,23.410925
26.0,3,23.415923
29.0,2,23.417924
11.0,8,23.431146
21.0,3,23.436161
20.0,5,23.442159
26.0,3,23.447151
26.0,3,23.45066
24.0,2,23.453668
23.0,4,23.459666
26.0,3,23.463666
17.0,6,23.471664
23.0,4,23.477662
26.0,3,23.48367
29.0,2,23.487743
17.0,6,23.497761
26.0,3,23.503421
29.0,2,23.507615
