#{"t_start": 1763328620.2296972, "env_id": "GridWorldMoving-v0"}
r,l,t
-33.0,16,14.886514
-6.0,12,14.89432
1.0,8,14.900045
9.0,7,14.904046
-57.0,24,14.920109
-76.0,27,14.938674
2.0,6,14.942189
1.0,8,14.947188
-181.0,47,14.977283
-69.0,23,14.992602
-117.0,39,15.105338
-85.0,30,15.125654
-202.0,49,15.159863
17.0,6,15.163872
14.0,7,15.168871
23.0,4,15.170871
-51.0,22,15.185766
-44.0,23,15.201284
-85.0,30,15.220003
-2.0,9,15.227297
-43.0,21,15.240803
12.0,6,15.243808
-189.0,53,15.389127
-118.0,41,15.418878
20.0,5,15.422878
8.0,9,15.42888
32.0,1,15.42988
-49.0,18,15.442324
-53.0,16,15.45362
-66.0,22,15.468966
-16.0,12,15.476962
-78.0,26,15.493961
-5.0,10,15.501155
-59.0,28,15.522296
-5.0,10,15.530682
4.0,7,15.535817
-105.0,35,15.561299
-12.0,9,15.657915
-56.0,17,15.669922
-197.0,49,15.701743
29.0,2,15.702744
24.0,2,15.703742
-169.0,43,15.731046
-42.0,19,15.742892
6.0,8,15.748894
-64.0,23,15.76302
17.0,6,15.767214
-36.0,17,15.777213
29.0,2,15.779216
-172.0,49,15.80921
-191.0,52,15.927582
9.0,7,15.932582
20.0,5,15.935585
15.0,5,15.938585
-89.0,28,15.95609
-26.0,17,15.967092
-16.0,12,15.975089
29.0,2,15.977088
32.0,1,15.977088
-178.0,56,16.013779
29.0,2,16.015861
32.0,1,16.015861
-12.0,14,16.02501
-61.0,22,16.038927
6.0,8,16.045436
29.0,2,16.046436
-79.0,28,16.064798
-24.0,18,16.17359
-18.0,11,16.180589
5.0,10,16.187588
32.0,1,16.188598
8.0,9,16.194606
-6.0,12,16.202609
24.0,2,16.203607
-33.0,16,16.214338
-32.0,14,16.223604
6.0,8,16.228608
32.0,1,16.229608
21.0,3,16.231608
29.0,2,16.233608
-309.0,73,16.281192
-86.0,32,16.301186
-16.0,17,16.312701
29.0,2,16.313948
-54.0,18,16.326011
-43.0,16,16.427496
26.0,3,16.429496
