#{"t_start": 1762881607.4003763, "env_id": "GridWorldMoving-v0"}
r,l,t
17.0,1,7.880863
17.0,1,7.882864
17.0,1,7.883864
17.0,1,7.885864
17.0,1,7.886864
17.0,1,7.888863
17.0,1,7.889864
17.0,1,7.891997
17.0,1,7.893992
17.0,1,7.894992
17.0,1,7.896992
17.0,1,7.897991
17.0,1,7.899991
17.0,1,7.901991
17.0,1,7.902998
17.0,1,7.905003
17.0,1,7.906
17.0,1,7.908006
17.0,1,7.909375
17.0,1,7.911494
17.0,1,7.91255
17.0,1,7.914549
17.0,1,7.91555
17.0,1,7.916549
17.0,1,7.91806
17.0,1,7.920069
17.0,1,7.921073
17.0,1,7.92307
17.0,1,7.925074
17.0,1,7.926074
17.0,1,7.92807
17.0,1,7.930068
17.0,1,7.931069
17.0,1,7.933069
17.0,1,7.934068
17.0,1,7.93607
17.0,1,7.937072
17.0,1,7.939074
17.0,1,7.940074
17.0,1,7.942075
17.0,1,7.943073
17.0,1,7.945074
17.0,1,7.946074
17.0,1,7.948074
17.0,1,7.949074
17.0,1,7.951075
17.0,1,7.952075
17.0,1,7.954074
17.0,1,7.955074
17.0,1,7.956074
17.0,1,7.958089
17.0,1,7.960075
17.0,1,7.961074
17.0,1,7.962074
17.0,1,7.964074
17.0,1,7.965074
17.0,1,7.966074
17.0,1,7.967074
17.0,1,7.969074
17.0,1,7.970074
17.0,1,7.971074
17.0,1,7.973074
17.0,1,7.974074
17.0,1,7.976074
17.0,1,7.977074
17.0,1,7.978074
17.0,1,7.979074
17.0,1,7.981074
17.0,1,7.982074
17.0,1,7.983074
17.0,1,7.985075
17.0,1,7.986074
17.0,1,7.987074
17.0,1,7.988074
17.0,1,7.989074
17.0,1,7.991075
17.0,1,7.993097
17.0,1,7.995074
17.0,1,7.996074
17.0,1,7.997074
17.0,1,7.998074
17.0,1,8.000076
17.0,1,8.002074
17.0,1,8.003089
17.0,1,8.004089
17.0,1,8.00609
17.0,1,8.007089
17.0,1,8.008101
17.0,1,8.010089
17.0,1,8.011089
17.0,1,8.013089
17.0,1,8.01512
17.0,1,8.017626
17.0,1,8.01969
17.0,1,8.021832
17.0,1,8.023871
17.0,1,8.025402
17.0,1,8.027442
17.0,1,8.028458
17.0,1,8.030458
17.0,1,8.031458
17.0,1,8.032459
17.0,1,8.034458
17.0,1,8.036457
17.0,1,8.037458
17.0,1,8.038458
17.0,1,8.039459
17.0,1,8.042456
17.0,1,8.043456
17.0,1,8.045458
17.0,1,8.046458
17.0,1,8.048458
17.0,1,8.049458
17.0,1,8.050458
17.0,1,8.051458
17.0,1,8.053458
17.0,1,8.054459
17.0,1,8.055459
17.0,1,8.056458
17.0,1,8.058461
17.0,1,8.059459
17.0,1,8.061458
17.0,1,8.063477
17.0,1,8.064481
17.0,1,8.066481
17.0,1,8.068481
17.0,1,8.069481
17.0,1,8.071507
17.0,1,8.073481
17.0,1,8.075481
17.0,1,8.078481
17.0,1,8.079481
17.0,1,8.081481
17.0,1,8.082481
17.0,1,8.083481
17.0,1,8.084481
17.0,1,8.085481
17.0,1,8.087481
17.0,1,8.088481
17.0,1,8.089481
17.0,1,8.092481
17.0,1,8.093481
17.0,1,8.095481
17.0,1,8.096481
17.0,1,8.098481
17.0,1,8.099481
17.0,1,8.100481
17.0,1,8.101481
17.0,1,8.103517
17.0,1,8.104517
17.0,1,8.105517
17.0,1,8.106517
17.0,1,8.109521
17.0,1,8.111517
17.0,1,8.112517
17.0,1,8.113517
17.0,1,8.114517
17.0,1,8.116517
17.0,1,8.117517
17.0,1,8.119067
17.0,1,8.120068
17.0,1,8.121068
17.0,1,8.122067
17.0,1,8.124264
17.0,1,8.127067
17.0,1,8.446981
17.0,1,8.448979
17.0,1,8.45098
17.0,1,8.453311
17.0,1,8.454409
17.0,1,8.456407
17.0,1,8.459412
17.0,1,8.46041
17.0,1,8.463415
17.0,1,8.465432
17.0,1,8.467432
17.0,1,8.468431
17.0,1,8.470432
17.0,1,8.473432
17.0,1,8.475431
17.0,1,8.477466
17.0,1,8.478977
17.0,1,8.480994
17.0,1,8.481996
17.0,1,8.484275
17.0,1,8.48587
17.0,1,8.487887
17.0,1,8.488886
17.0,1,8.490887
17.0,1,8.492884
17.0,1,8.494885
17.0,1,8.495884
17.0,1,8.497884
17.0,1,8.499883
17.0,1,8.501885
17.0,1,8.503958
17.0,1,8.505956
17.0,1,8.506955
17.0,1,8.508953
17.0,1,8.510959
17.0,1,8.511961
17.0,1,8.51396
17.0,1,8.515961
17.0,1,8.51696
17.0,1,8.518473
17.0,1,8.520487
17.0,1,8.52149
17.0,1,8.52349
17.0,1,8.52549
17.0,1,8.526739
17.0,1,8.52777
17.0,1,8.529284
17.0,1,8.5313
17.0,1,8.532303
17.0,1,8.534302
17.0,1,8.535302
17.0,1,8.537302
17.0,1,8.538303
17.0,1,8.539303
17.0,1,8.541302
17.0,1,8.542302
17.0,1,8.54468
17.0,1,8.54668
17.0,1,8.548679
17.0,1,8.550684
17.0,1,8.553091
17.0,1,8.554092
17.0,1,8.556097
17.0,1,8.557098
17.0,1,8.55909
17.0,1,8.561119
17.0,1,8.564625
17.0,1,8.56562
17.0,1,8.567617
17.0,1,8.568617
17.0,1,8.570617
17.0,1,8.571617
17.0,1,8.573617
17.0,1,8.575618
17.0,1,8.576617
17.0,1,8.578617
17.0,1,8.579617
17.0,1,8.582116
17.0,1,8.583621
17.0,1,8.584617
17.0,1,8.586615
17.0,1,8.587614
17.0,1,8.589614
17.0,1,8.591618
17.0,1,8.592621
17.0,1,8.594622
17.0,1,8.596621
17.0,1,8.598623
17.0,1,8.600621
17.0,1,8.601628
17.0,1,8.603622
17.0,1,8.604636
17.0,1,8.606637
17.0,1,8.607636
17.0,1,8.608637
17.0,1,8.610637
17.0,1,8.611637
17.0,1,8.614087
17.0,1,8.615087
17.0,1,8.617085
17.0,1,8.618598
17.0,1,8.619616
17.0,1,8.622613
17.0,1,8.625616
17.0,1,8.626614
17.0,1,8.629612
17.0,1,8.631616
17.0,1,8.632614
17.0,1,8.634616
17.0,1,8.635616
17.0,1,8.637616
17.0,1,8.638617
17.0,1,8.640615
17.0,1,8.641616
17.0,1,8.643634
17.0,1,8.644639
17.0,1,8.645638
17.0,1,8.646638
17.0,1,8.648638
17.0,1,8.649637
17.0,1,8.650632
17.0,1,8.652638
17.0,1,8.653638
17.0,1,8.654638
17.0,1,8.655638
17.0,1,8.657149
17.0,1,8.66033
17.0,1,8.662326
17.0,1,8.664339
17.0,1,8.665329
17.0,1,8.666326
17.0,1,8.668324
17.0,1,8.669323
17.0,1,8.671331
17.0,1,8.671844
17.0,1,8.673861
17.0,1,8.675862
17.0,1,8.677865
17.0,1,8.678859
17.0,1,8.679861
17.0,1,8.680861
17.0,1,8.682862
17.0,1,8.683861
17.0,1,8.684861
17.0,1,8.685861
17.0,1,8.687861
17.0,1,8.688861
17.0,1,8.689861
17.0,1,8.692864
17.0,1,8.694865
17.0,1,8.695858
17.0,1,8.696858
17.0,1,8.698867
17.0,1,8.700279
17.0,1,8.701332
17.0,1,8.702332
17.0,1,8.704352
17.0,1,8.705352
17.0,1,8.706352
17.0,1,8.709351
17.0,1,8.710352
17.0,1,8.71267
17.0,1,8.713713
17.0,1,8.714762
17.0,1,8.716764
17.0,1,8.717764
17.0,1,8.719298
17.0,1,8.72032
17.0,1,8.721322
17.0,1,8.723321
17.0,1,8.724315
17.0,1,8.726609
17.0,1,8.72873
17.0,1,8.729731
17.0,1,8.731731
17.0,1,8.733725
17.0,1,8.736007
17.0,1,8.737007
17.0,1,8.738996
17.0,1,8.740042
17.0,1,8.741377
17.0,1,8.742591
17.0,1,8.744627
17.0,1,8.74563
17.0,1,8.746629
17.0,1,8.748629
17.0,1,8.749629
17.0,1,8.75062
17.0,1,8.751619
17.0,1,8.753825
17.0,1,8.754869
17.0,1,8.756856
17.0,1,8.757857
17.0,1,8.760859
17.0,1,8.762864
17.0,1,8.763866
17.0,1,8.765892
17.0,1,8.766931
17.0,1,8.769259
17.0,1,8.770236
17.0,1,8.771238
17.0,1,8.772238
17.0,1,8.774229
17.0,1,8.776731
17.0,1,8.777777
17.0,1,8.779787
17.0,1,8.780784
17.0,1,8.781813
17.0,1,8.783783
17.0,1,8.784782
17.0,1,8.785784
17.0,1,8.787789
17.0,1,8.788799
17.0,1,8.790797
17.0,1,8.791776
17.0,1,8.793784
17.0,1,8.794778
17.0,1,8.796781
17.0,1,8.797798
17.0,1,8.798786
17.0,1,8.800791
17.0,1,8.801819
17.0,1,8.80389
17.0,1,8.804908
17.0,1,8.805911
17.0,1,8.807955
17.0,1,8.810204
17.0,1,8.811205
17.0,1,8.813206
17.0,1,8.814207
17.0,1,8.815205
17.0,1,8.816207
17.0,1,8.818718
17.0,1,8.819782
17.0,1,8.821854
17.0,1,8.822855
17.0,1,8.82485
17.0,1,8.828122
17.0,1,8.830346
17.0,1,8.832355
17.0,1,8.83435
17.0,1,8.835765
17.0,1,8.837764
17.0,1,8.840064
17.0,1,8.842524
17.0,1,8.843528
17.0,1,8.845531
17.0,1,8.846928
17.0,1,8.848283
17.0,1,8.84932
17.0,1,8.85132
17.0,1,8.85232
17.0,1,8.85332
17.0,1,8.854655
17.0,1,8.856658
17.0,1,8.857979
17.0,1,9.031726
17.0,1,9.032726
17.0,1,9.034726
17.0,1,9.036733
17.0,1,9.037729
17.0,1,9.038728
17.0,1,9.040727
17.0,1,9.042726
17.0,1,9.043726
17.0,1,9.044726
17.0,1,9.046726
17.0,1,9.047726
17.0,1,9.048726
17.0,1,9.049726
17.0,1,9.051726
17.0,1,9.052726
17.0,1,9.053726
17.0,1,9.054725
17.0,1,9.055726
17.0,1,9.057726
17.0,1,9.058726
17.0,1,9.059726
17.0,1,9.060726
17.0,1,9.061726
17.0,1,9.063725
17.0,1,9.064726
17.0,1,9.065726
17.0,1,9.067731
17.0,1,9.06888
17.0,1,9.070882
17.0,1,9.071884
17.0,1,9.074378
17.0,1,9.075376
17.0,1,9.076376
17.0,1,9.078376
17.0,1,9.079376
17.0,1,9.081376
17.0,1,9.083377
17.0,1,9.084376
17.0,1,9.086376
17.0,1,9.087376
17.0,1,9.089377
17.0,1,9.090376
17.0,1,9.091376
17.0,1,9.093375
17.0,1,9.094376
17.0,1,9.09538
17.0,1,9.097376
17.0,1,9.098376
17.0,1,9.100376
17.0,1,9.101376
17.0,1,9.102376
17.0,1,9.105382
17.0,1,9.10678
17.0,1,9.107983
17.0,1,9.109977
17.0,1,9.110976
17.0,1,9.112976
17.0,1,9.113976
17.0,1,9.115982
17.0,1,9.118006
17.0,1,9.119533
17.0,1,9.121551
17.0,1,9.122551
17.0,1,9.124551
17.0,1,9.125551
17.0,1,9.127557
17.0,1,9.12855
17.0,1,9.130958
17.0,1,9.131955
17.0,1,9.132957
17.0,1,9.134958
17.0,1,9.135958
17.0,1,9.136958
17.0,1,9.137957
17.0,1,9.13995
17.0,1,9.140959
17.0,1,9.142244
17.0,1,9.144243
17.0,1,9.145244
17.0,1,9.147244
17.0,1,9.149243
17.0,1,9.150243
