#{"t_start": 1763327215.4783542, "env_id": "GridWorldMoving-v0"}
r,l,t
-28.0,16,16.145744
-65.0,25,16.163181
10.0,5,16.259479
-121.0,42,16.289828
-107.0,34,16.313759
-161.0,47,16.346865
11.0,8,16.352864
24.0,2,16.354867
-32.0,14,16.365245
29.0,2,16.367242
-117.0,34,16.392645
-217.0,59,16.436582
-39.0,23,16.557203
-17.0,14,16.567202
-67.0,19,16.581199
-10.0,10,16.588199
-20.0,10,16.595198
15.0,5,16.5992
-58.0,26,16.617706
-31.0,17,16.629704
12.0,6,16.634704
11.0,8,16.640703
-18.0,16,16.652702
-166.0,47,16.686697
-15.0,10,16.693696
-50.0,20,16.708697
2.0,6,16.712199
-193.0,56,16.849824
-108.0,36,16.875939
-67.0,24,16.893059
5.0,10,16.901061
21.0,3,16.904066
-35.0,15,16.915568
-256.0,67,16.965562
-94.0,33,16.990558
-190.0,45,17.118881
-12.0,14,17.128879
21.0,3,17.131879
-420.0,100,17.205874
20.0,5,17.210197
32.0,1,17.210197
20.0,5,17.213706
-91.0,37,17.240969
-7.0,9,17.247257
29.0,2,17.248257
29.0,2,17.250257
-343.0,86,17.418389
24.0,2,17.419389
-38.0,16,17.430464
-59.0,23,17.447462
-19.0,13,17.457464
32.0,1,17.457464
24.0,2,17.459467
-12.0,14,17.469498
-67.0,24,17.487962
14.0,7,17.492961
-180.0,45,17.525468
15.0,5,17.528467
-96.0,37,17.555464
23.0,4,17.557463
-217.0,64,17.691941
-34.0,18,17.703942
-33.0,16,17.715448
-9.0,13,17.724447
-37.0,19,17.737446
-24.0,18,17.750443
-89.0,28,17.770442
-8.0,11,17.77844
-114.0,38,17.807575
-102.0,29,17.82823
10.0,5,17.832699
-17.0,14,17.841988
-56.0,17,17.855168
-205.0,50,17.987083
-98.0,31,18.009084
-9.0,8,18.015591
-26.0,17,18.027589
-168.0,46,18.062584
-54.0,18,18.074583
-91.0,32,18.097579
-40.0,20,18.111581
32.0,1,18.113084
-11.0,12,18.122091
7.0,6,18.126091
-128.0,41,18.257456
-39.0,23,18.274454
-79.0,23,18.291452
-10.0,15,18.303458
-160.0,55,18.361715
-22.0,14,18.376009
-99.0,33,18.404812
21.0,3,18.408093
-70.0,30,18.430638
-33.0,16,18.442677
-87.0,29,18.462802
32.0,1,18.462802
-51.0,27,18.575278
-67.0,24,18.592673
-54.0,23,18.610677
-219.0,58,18.654968
-182.0,59,18.699624
-107.0,34,18.723288
-53.0,21,18.739448
-33.0,16,18.753349
9.0,7,18.885983
-41.0,17,18.900381
-157.0,44,18.934204
-18.0,11,18.943525
-81.0,27,18.964523
-80.0,20,18.980521
-59.0,23,18.997899
-67.0,19,19.013092
32.0,1,19.013599
14.0,7,19.018609
20.0,5,19.022842
