#{"t_start": 1763034752.2000313, "env_id": "GridWorldStatic-v0"}
r,l,t
32.0,1,20.090862
4.0,7,20.304157
-26.0,12,20.321297
32.0,1,20.322298
14.0,7,20.332313
-10.0,10,20.345847
-38.0,16,20.366628
15.0,5,20.37458
23.0,4,20.379857
4.0,7,20.390759
2.0,6,20.398039
32.0,1,20.400038
12.0,6,20.40806
6.0,8,20.418594
11.0,8,20.429139
29.0,2,20.432141
5.0,10,20.445653
24.0,2,20.448654
29.0,2,20.451654
26.0,3,20.455652
20.0,5,20.461653
10.0,5,20.468673
10.0,5,20.475691
20.0,5,20.482757
32.0,1,20.483757
29.0,2,20.486758
-7.0,9,20.497909
10.0,5,20.503909
23.0,4,20.507909
10.0,5,20.513909
32.0,1,20.514908
29.0,2,20.517934
12.0,6,20.52497
-1.0,7,20.53297
-12.0,9,20.543522
29.0,2,20.545521
18.0,4,20.550522
29.0,2,20.552521
21.0,3,20.556522
12.0,6,20.564522
4.0,7,20.574522
14.0,7,20.584913
32.0,1,20.585915
17.0,6,20.593913
-2.0,9,20.605913
-44.0,13,20.623913
32.0,1,20.625949
-12.0,9,20.830768
26.0,3,20.834696
20.0,5,20.840403
26.0,3,20.845571
13.0,4,20.85057
18.0,4,20.855985
20.0,5,20.863359
23.0,4,20.869984
13.0,4,20.875442
17.0,6,20.883735
29.0,2,20.88681
29.0,2,20.893805
32.0,1,20.894804
5.0,10,20.909014
15.0,5,20.91602
-12.0,9,20.928532
29.0,2,20.931055
6.0,8,20.943653
1.0,8,20.955969
18.0,4,20.960973
21.0,3,20.965991
26.0,3,20.970041
-5.0,10,20.983109
14.0,7,20.991108
7.0,6,20.999513
29.0,2,21.002753
-17.0,9,21.015754
21.0,3,21.018772
32.0,1,21.020772
29.0,2,21.022772
26.0,3,21.025786
23.0,4,21.030784
23.0,4,21.035876
26.0,3,21.039069
17.0,6,21.045596
26.0,3,21.048988
18.0,4,21.054009
17.0,6,21.060009
29.0,2,21.063012
-9.0,13,21.077008
15.0,5,21.082837
10.0,5,21.088855
15.0,5,21.094857
23.0,4,21.099244
17.0,6,21.10673
15.0,5,21.112727
3.0,9,21.124953
7.0,6,21.132349
11.0,8,21.141905
26.0,3,21.144904
-9.0,13,21.160369
21.0,3,21.365795
17.0,6,21.373796
-12.0,9,21.387399
17.0,6,21.394782
32.0,1,21.395785
15.0,5,21.40404
29.0,2,21.407067
20.0,5,21.413385
24.0,2,21.417887
29.0,2,21.422113
17.0,6,21.431149
-1.0,7,21.441662
23.0,4,21.447735
15.0,5,21.456697
18.0,4,21.464271
26.0,3,21.470483
17.0,6,21.479731
23.0,4,21.48693
29.0,2,21.488927
24.0,2,21.493468
6.0,8,21.506583
-50.0,15,21.528413
11.0,8,21.540313
18.0,4,21.547151
23.0,4,21.554105
32.0,1,21.555264
24.0,2,21.558454
23.0,4,21.565889
15.0,5,21.573558
18.0,4,21.579103
32.0,1,21.580854
26.0,3,21.584002
29.0,2,21.587004
12.0,6,21.594127
4.0,7,21.602181
3.0,9,21.612181
23.0,4,21.617596
-5.0,10,21.629666
26.0,3,21.634666
29.0,2,21.638666
18.0,4,21.644226
21.0,3,21.65055
12.0,6,21.65959
20.0,5,21.66859
18.0,4,21.67459
15.0,5,21.681626
20.0,5,21.688626
26.0,3,21.693626
15.0,5,21.703276
-17.0,14,21.724277
6.0,8,21.738312
32.0,1,21.739313
17.0,6,21.748249
29.0,2,21.750248
23.0,4,21.944674
16.0,3,21.948853
-3.0,11,21.961908
20.0,5,21.968909
29.0,2,21.970906
29.0,2,21.972907
26.0,3,21.976906
5.0,5,21.983667
20.0,5,21.989667
12.0,6,21.998903
-1.0,7,22.007901
-18.0,16,22.027982
29.0,2,22.03124
32.0,1,22.03224
23.0,4,22.03724
12.0,6,22.044528
11.0,8,22.055218
17.0,6,22.062649
29.0,2,22.065646
-14.0,8,22.074883
21.0,3,22.079036
5.0,10,22.090034
17.0,6,22.097472
29.0,2,22.099472
8.0,9,22.109552
29.0,2,22.11255
29.0,2,22.114552
18.0,4,22.119552
29.0,2,22.122552
29.0,2,22.125551
21.0,3,22.12956
32.0,1,22.131559
13.0,4,22.136559
14.0,7,22.145546
20.0,5,22.150547
15.0,5,22.156974
21.0,3,22.159974
18.0,4,22.165363
26.0,3,22.168388
32.0,1,22.169393
7.0,6,22.176633
29.0,2,22.179636
32.0,1,22.180634
15.0,5,22.185771
29.0,2,22.188771
18.0,4,22.193849
-8.0,11,22.206028
23.0,4,22.21201
26.0,3,22.215473
6.0,8,22.224513
26.0,3,22.229106
13.0,4,22.233817
21.0,3,22.238439
20.0,5,22.245014
23.0,4,22.249994
24.0,2,22.253014
32.0,1,22.254014
32.0,1,22.25601
26.0,3,22.259093
9.0,7,22.459183
32.0,1,22.461184
23.0,4,22.466585
21.0,3,22.47168
20.0,5,22.478189
26.0,3,22.482987
32.0,1,22.484419
-9.0,8,22.493415
17.0,6,22.501959
21.0,3,22.504959
3.0,9,22.516022
20.0,5,22.523022
18.0,4,22.529028
20.0,5,22.535028
26.0,3,22.538029
17.0,6,22.545544
12.0,6,22.552542
6.0,8,22.562545
32.0,1,22.564543
-17.0,9,22.577063
20.0,5,22.583061
9.0,7,22.593291
16.0,3,22.598507
-4.0,13,22.61496
7.0,6,22.623539
3.0,9,22.635603
23.0,4,22.642135
29.0,2,22.645134
26.0,3,22.649383
29.0,2,22.652434
18.0,4,22.657429
26.0,3,22.660479
20.0,5,22.666525
23.0,4,22.671997
24.0,2,22.674047
32.0,1,22.67605
20.0,5,22.682047
26.0,3,22.685047
26.0,3,22.689047
17.0,6,22.696223
23.0,4,22.70128
23.0,4,22.707338
32.0,1,22.708389
29.0,2,22.710388
13.0,4,22.715496
20.0,5,22.72153
-43.0,16,22.741186
15.0,5,22.747555
23.0,4,22.752592
29.0,2,22.754624
23.0,4,22.759609
-7.0,9,22.77079
7.0,6,22.777911
14.0,7,22.963765
26.0,3,22.968113
23.0,4,22.974547
23.0,4,22.981279
3.0,9,22.993274
20.0,5,23.000565
29.0,2,23.004034
18.0,4,23.009011
24.0,2,23.01301
9.0,7,23.022513
32.0,1,23.023512
15.0,5,23.031039
9.0,7,23.040018
23.0,4,23.046541
2.0,6,23.054542
23.0,4,23.058742
10.0,5,23.066242
24.0,2,23.069241
12.0,6,23.077244
23.0,4,23.083685
24.0,2,23.085686
26.0,3,23.089859
21.0,3,23.093219
20.0,5,23.101746
18.0,4,23.106548
7.0,6,23.115199
20.0,5,23.121645
15.0,5,23.128794
32.0,1,23.130918
4.0,7,23.139997
29.0,2,23.14253
18.0,4,23.147911
26.0,3,23.15291
26.0,3,23.156922
29.0,2,23.159151
29.0,2,23.161151
32.0,1,23.16315
23.0,4,23.167261
18.0,4,23.172303
18.0,4,23.177325
29.0,2,23.179326
26.0,3,23.182695
12.0,6,23.190537
20.0,5,23.19566
18.0,4,23.201307
24.0,2,23.203356
32.0,1,23.204356
18.0,4,23.209598
29.0,2,23.211598
12.0,6,23.220963
18.0,4,23.225963
23.0,4,23.231999
26.0,3,23.235999
26.0,3,23.24
17.0,6,23.248574
-12.0,9,23.260574
15.0,5,23.268574
20.0,5,23.275574
23.0,4,23.280574
26.0,3,23.285574
11.0,8,23.296591
20.0,5,23.302574
32.0,1,23.304574
17.0,6,23.503278
14.0,7,23.513664
16.0,3,23.517664
23.0,4,23.522661
12.0,6,23.530692
20.0,5,23.536671
18.0,4,23.5435
32.0,1,23.544501
20.0,5,23.551623
9.0,7,23.560712
5.0,5,23.567841
26.0,3,23.570836
12.0,6,23.579901
29.0,2,23.582896
21.0,3,23.586896
29.0,2,23.589902
11.0,8,23.602874
12.0,6,23.611557
26.0,3,23.615635
23.0,4,23.620644
26.0,3,23.62491
29.0,2,23.627946
32.0,1,23.629946
10.0,5,23.636988
26.0,3,23.640981
21.0,3,23.644495
29.0,2,23.647495
32.0,1,23.649496
12.0,6,23.656498
14.0,7,23.666514
29.0,2,23.66952
26.0,3,23.672576
18.0,4,23.677576
10.0,5,23.682575
29.0,2,23.686075
15.0,5,23.694167
32.0,1,23.696151
32.0,1,23.697144
17.0,6,23.704473
20.0,5,23.710474
26.0,3,23.714571
17.0,6,23.722376
23.0,4,23.727388
26.0,3,23.732378
29.0,2,23.735386
32.0,1,23.736386
32.0,1,23.738401
12.0,6,23.746962
23.0,4,23.752127
2.0,6,23.759043
1.0,8,23.770553
14.0,7,23.779879
23.0,4,23.784918
20.0,5,23.79094
26.0,3,23.795648
15.0,5,23.803394
26.0,3,23.807507
9.0,7,23.817333
29.0,2,23.820232
32.0,1,23.821907
26.0,3,23.825892
20.0,5,23.832183
23.0,4,23.837954
29.0,2,23.840843
26.0,3,23.844433
12.0,6,24.043423
23.0,4,24.049782
29.0,2,24.051786
23.0,4,24.058334
26.0,3,24.065241
26.0,3,24.072536
32.0,1,24.074607
21.0,3,24.079645
13.0,4,24.085175
23.0,4,24.090689
1.0,8,24.102231
18.0,4,24.107557
29.0,2,24.110997
26.0,3,24.115295
7.0,6,24.123173
29.0,2,24.126561
26.0,3,24.130642
1.0,8,24.142333
32.0,1,24.143342
2.0,6,24.151803
26.0,3,24.156203
32.0,1,24.157202
20.0,5,24.164484
26.0,3,24.167969
29.0,2,24.171744
18.0,4,24.176744
18.0,4,24.1827
15.0,5,24.188048
26.0,3,24.192383
26.0,3,24.197471
29.0,2,24.199474
32.0,1,24.20147
20.0,5,24.208476
26.0,3,24.212477
15.0,5,24.218835
32.0,1,24.220834
14.0,7,24.230042
26.0,3,24.234385
26.0,3,24.238385
2.0,6,24.244926
32.0,1,24.246924
26.0,3,24.249949
14.0,7,24.257967
-6.0,7,24.266427
32.0,1,24.267427
18.0,4,24.272428
26.0,3,24.275427
24.0,2,24.279427
18.0,4,24.283427
29.0,2,24.286427
29.0,2,24.288427
23.0,4,24.293427
23.0,4,24.299427
23.0,4,24.304427
23.0,4,24.308428
23.0,4,24.314427
23.0,4,24.318408
23.0,4,24.323427
26.0,3,24.327427
23.0,4,24.333849
18.0,4,24.338852
12.0,6,24.347401
15.0,5,24.353401
18.0,4,24.359401
20.0,5,24.367401
14.0,7,24.376401
23.0,4,24.381401
17.0,6,24.389401
15.0,5,24.584867
4.0,7,24.59427
11.0,8,24.605578
18.0,4,24.611608
23.0,4,24.617599
20.0,5,24.624604
20.0,5,24.630913
17.0,6,24.637918
15.0,5,24.645429
23.0,4,24.650434
32.0,1,24.651433
26.0,3,24.654433
23.0,4,24.659436
18.0,4,24.666499
26.0,3,24.670504
26.0,3,24.674734
18.0,4,24.681368
10.0,5,24.687356
23.0,4,24.693837
15.0,5,24.700304
23.0,4,24.705307
18.0,4,24.71031
29.0,2,24.712547
20.0,5,24.719543
23.0,4,24.726014
10.0,5,24.733329
15.0,5,24.739814
26.0,3,24.744333
32.0,1,24.74633
20.0,5,24.752335
26.0,3,24.756745
29.0,2,24.759747
21.0,3,24.763747
29.0,2,24.766747
29.0,2,24.769747
26.0,3,24.773766
15.0,5,24.780764
29.0,2,24.782763
23.0,4,24.787767
13.0,4,24.792763
29.0,2,24.794768
26.0,3,24.798763
32.0,1,24.799764
29.0,2,24.802764
17.0,6,24.809792
6.0,8,24.819792
29.0,2,24.822792
29.0,2,24.825792
32.0,1,24.826792
9.0,7,24.835828
29.0,2,24.838828
32.0,1,24.839828
18.0,4,24.845402
9.0,7,24.854403
23.0,4,24.860402
29.0,2,24.862402
23.0,4,24.867402
17.0,6,24.875402
26.0,3,24.88038
20.0,5,24.887403
29.0,2,24.889403
29.0,2,24.892403
26.0,3,24.895402
21.0,3,24.899402
29.0,2,24.902402
