#{"t_start": 1763361708.8632033, "env_id": "GridWorldMoving-v0"}
r,l,t
-78.0,26,41.687166
16.0,3,41.691166
-291.0,72,41.979753
-11.0,12,42.000751
-174.0,48,42.069747
-1.0,7,42.07917
-23.0,16,42.101371
-133.0,46,42.166659
-57.0,19,42.190163
-76.0,22,42.216754
-15.0,15,42.235462
4.0,7,42.244016
4.0,7,42.253125
26.0,3,42.257139
-378.0,96,42.570122
12.0,6,42.5814
-90.0,35,42.648571
-64.0,23,42.68854
-19.0,13,42.705179
14.0,7,42.713381
-124.0,38,42.758549
20.0,5,42.764697
32.0,1,42.766912
-118.0,36,42.811355
-415.0,100,43.129558
29.0,2,43.134564
29.0,2,43.136562
26.0,3,43.140564
-29.0,18,43.166506
-33.0,21,43.196332
-36.0,17,43.219774
29.0,2,43.222783
-67.0,24,43.254996
18.0,4,43.258997
-162.0,54,43.326791
-55.0,25,43.358937
23.0,4,43.363487
-70.0,20,43.389485
2.0,11,43.639284
-22.0,14,43.658288
-32.0,14,43.67808
-108.0,31,43.719081
-130.0,45,43.773424
12.0,6,43.781418
-30.0,15,43.798413
-18.0,16,43.818999
-35.0,20,43.846283
21.0,3,43.85026
-163.0,46,43.906834
6.0,8,43.918833
-4.0,13,43.937831
6.0,8,43.948866
-186.0,57,44.288761
17.0,6,44.29676
-41.0,17,44.318752
-115.0,30,44.359629
-40.0,20,44.384156
18.0,4,44.39008
-169.0,43,44.443605
-85.0,30,44.478626
17.0,6,44.486002
24.0,2,44.48803
24.0,2,44.491029
-42.0,14,44.50768
16.0,3,44.511662
-95.0,30,44.547661
17.0,6,44.777202
-81.0,22,44.8072
32.0,1,44.8082
-11.0,12,44.825468
-89.0,33,44.880879
29.0,2,44.88488
26.0,3,44.890042
14.0,7,44.902102
20.0,5,44.910101
3.0,9,44.924333
-91.0,32,44.977875
20.0,5,44.985202
-69.0,28,45.018107
-26.0,12,45.032903
4.0,7,45.041445
-19.0,8,45.051075
23.0,4,45.056074
-5.0,10,45.067617
-232.0,59,45.324044
-68.0,31,45.368541
-55.0,20,45.393718
32.0,1,45.394718
29.0,2,45.39784
-12.0,9,45.409379
-78.0,31,45.445375
-2.0,9,45.455379
12.0,6,45.461883
-4.0,13,45.476888
-358.0,91,45.588223
4.0,7,45.595673
-85.0,25,45.625069
-160.0,45,45.875537
5.0,10,45.892523
14.0,7,45.90452
29.0,2,45.908521
32.0,1,45.910771
-59.0,23,45.952963
-2.0,9,45.968077
-42.0,14,45.987568
17.0,6,45.994566
-24.0,18,46.018363
-43.0,21,46.043389
32.0,1,46.044389
29.0,2,46.047405
-78.0,26,46.077846
15.0,5,46.084847
-22.0,14,46.102183
-6.0,7,46.111185
-16.0,12,46.126472
-152.0,39,46.370884
-40.0,20,46.398998
-62.0,24,46.431976
6.0,8,46.443028
-139.0,43,46.499806
-208.0,51,46.575962
29.0,2,46.577962
32.0,1,46.580967
32.0,1,46.581967
-113.0,36,46.631262
-48.0,21,46.659972
-144.0,43,46.720309
29.0,2,46.722325
3.0,9,46.909544
-88.0,26,46.948577
-47.0,24,46.983148
11.0,8,46.994147
-97.0,29,47.037144
-13.0,11,47.053178
-6.0,12,47.071727
-7.0,14,47.092583
32.0,1,47.09362
1.0,8,47.107723
-11.0,12,47.126552
-22.0,9,47.144468
9.0,7,47.156624
-122.0,39,47.225422
-210.0,55,47.481831
-32.0,14,47.49983
21.0,3,47.502829
-63.0,26,47.533827
-53.0,26,47.567345
9.0,7,47.575343
32.0,1,47.576343
-3.0,11,47.591344
-6.0,12,47.605768
-183.0,46,47.662254
-25.0,15,47.683341
-55.0,20,47.707704
-17.0,14,47.724702
9.0,7,47.732915
-88.0,36,47.7825
-38.0,21,48.005275
-291.0,77,48.099786
-159.0,48,48.168057
13.0,4,48.173105
-50.0,20,48.205293
-92.0,24,48.248216
-2.0,9,48.262422
-85.0,30,48.307465
-2.0,9,48.321182
21.0,3,48.326184
-45.0,20,48.352565
-230.0,65,48.60861
18.0,4,48.613609
-110.0,35,48.659613
-6.0,12,48.67913
-85.0,25,48.714133
-27.0,14,48.733768
-158.0,56,48.805247
-56.0,22,48.835722
-52.0,19,48.859536
-76.0,32,49.091182
-35.0,15,49.112181
-122.0,34,49.157427
-174.0,58,49.240597
-117.0,39,49.289564
-75.0,30,49.3288
-58.0,21,49.35562
-259.0,63,49.658182
11.0,8,49.669755
-7.0,9,49.683753
-48.0,16,49.705751
-3.0,11,49.72075
9.0,7,49.729747
-142.0,44,49.786498
-64.0,23,49.81749
20.0,5,49.823578
-37.0,19,49.846575
-12.0,9,49.857543
-28.0,16,49.876107
32.0,1,49.877107
-37.0,14,49.893105
4.0,7,49.902105
-28.0,11,49.915103
-71.0,22,49.941102
